"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"810","Virginia (Wind In The Night)","The Head And The Heart",0.265,0.79,7,-3.702,0.0366,0.00699,0,0.0523,0.248,136.075,"03gx5xXMcfEK7ZnOHsjvJL",205293,4,2022-02-03
"811","Running Around","Goth Babe",0.655,0.815,0,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052,"35DHCZvQcy8PIM0eJmVS1X",268800,4,2022-02-03
"812","Us Someday","Thomas Rhett",0.52,0.643,10,-6.37,0.0237,0.0296,2.28e-06,0.0982,0.745,155.988,"5QcjrDZhf8zvP6XV6EGOkE",143733,4,2022-02-03
"813","good wife","Kacey Musgraves",0.523,0.582,2,-9.215,0.0619,0.429,0.000312,0.116,0.361,167.725,"64PsLB0bc1LJoZwogWO3ok",231427,4,2022-02-03
"814","Party Mode","Dustin Lynch",0.619,0.916,10,-2.752,0.0468,0.0483,4.88e-06,0.246,0.785,114.019,"7ivOkXLuP1182ZtzA54Vbw",211987,4,2022-02-03
"815","How I Step","Mersiv",0.447,0.938,2,-4.935,0.0707,0.000396,0.239,0.192,0.0927,87.948,"5Lo7TKVopdhOgtrJUCEPvc",196364,4,2022-02-03
"816","Renegade","Big Gigantic",0.71,0.828,5,-5.41,0.119,0.00155,0.698,0.296,0.466,127.065,"34VvEULRDeVXiaCRsUebKg",201800,4,2022-02-03
"817","Fall In Love","Bailey Zimmerman",0.524,0.643,9,-6.055,0.0297,0.451,0,0.221,0.397,135.962,"5gVCfYmQRPy1QJifP8f5gg",232059,4,2022-02-03
"818","Loser","Sueco",0.61,0.894,5,-3.956,0.129,0.00317,0,0.0539,0.65,96.622,"1GAIibUEoZjvG4QsrabVWc",133679,4,2022-02-03
"819","Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"3DZ8dbKg4OTSSqGARvecYd",185600,4,2022-02-03
"820","Spacetime (feat. NEVVE)","Subtronics",0.709,0.802,4,-1.146,0.137,0.0877,1.43e-05,0.323,0.546,140.072,"0yotOi6EFaBal5Gy7YVcuI",168000,4,2022-02-03
"821","Surround Sound (feat. 21 Savage & Baby Tate)","JID",0.57,0.573,5,-6.935,0.476,0.156,0,0.256,0.517,76.006,"0cp97b37sFNsdIbQH6po3T",229938,4,2022-02-03
"822","Scared Money (feat. J. Cole and Moneybagg Yo)","YG",0.898,0.58,8,-7.632,0.26,0.0101,0,0.169,0.661,84.018,"4heBcjj4Lw3X2sQVFNbLbz",204286,4,2022-02-03
"823","Come Clean (feat. Justin Jesso)","Adventure Club",0.63,0.454,0,-8.639,0.0333,0.214,0,0.434,0.204,135.037,"4PyEdtiTEPNvsNSXPDQDDL",177778,4,2022-02-03
"824","Waiting For (with slenderbodies)","ayokay",0.785,0.584,6,-9.731,0.0471,0.162,5.35e-05,0.0785,0.929,141.983,"2cIgxV4ThK2YjqwFQRt0yn",179227,4,2022-02-03
"825","Stay","Kaivon",0.587,0.734,1,-5.627,0.0431,0.051,0.00893,0.133,0.0714,122.934,"4cEWuDn97aI64yw6HrZvBc",249756,4,2022-02-03
"826","Mi Despedida","Los Del Limit",0.531,0.491,7,-8.636,0.0584,0.44,0.00116,0.128,0.363,110.228,"6Svlf7ToRwf8VFaHWpdN9O",196065,4,2022-02-03
"827","Doja","$NOT",0.753,0.777,11,-5.701,0.32,0.0725,0.000714,0.125,0.669,157.148,"3YFnfm9z8RmPFIZ7C16u4e",171453,4,2022-02-03
"828","Our Fire","Excision",0.386,0.739,2,-2.367,0.0384,0.033,2.23e-06,0.241,0.0666,75.023,"2EgXhbQ9SliIgqWbB4JYHW",259401,4,2022-02-03
"829","Flower Shops (feat. Morgan Wallen)","ERNEST",0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,"2ccuOtUjIyx3tPcsnpeBzJ",214405,3,2022-02-03
"830","Colorado","Laszewo",0.618,0.553,8,-7.507,0.0517,0.128,0.000179,0.0897,0.0575,122.009,"1nIRahjeEII1lsDPEn0nJz",195416,4,2022-02-03
"831","City of Gods","Fivio Foreign",0.474,0.801,8,-5.978,0.375,0.102,0,0.322,0.497,147.356,"4huBDGP4I3S0pYI0EaRN1c",256000,4,2022-02-03
"832","Don't Play That","King Von",0.947,0.605,10,-8.621,0.346,0.0748,7.54e-06,0.0901,0.656,129.988,"6BczFLHW9aIf9aWn5NFuNL",133613,4,2022-02-03
"833","Bussin","Nicki Minaj",0.893,0.699,11,-8.059,0.0517,0.0576,3.02e-06,0.128,0.747,139.972,"7lcI4X8RZxK4zIknJcwpBq",136761,4,2022-02-03
"834","C'mon Baby, Cry","Orville Peck",0.558,0.852,2,-4.388,0.041,0.222,0.000707,0.111,0.357,117.962,"6RdQx3nZNjYIZ9nlBw6JLG",210840,4,2022-02-03
"835","Need You","Fresco Trey",0.718,0.596,11,-8.195,0.053,0.073,0,0.0796,0.475,87.977,"5FkBoG7xkb0pPkaO8rS5td",173066,4,2022-02-03
"836","Take Flight VIP","Sullivan King",0.583,0.992,11,0.787,0.216,0.0159,0.0182,0.231,0.362,128.039,"0mE1Eo3encgJEIPzSLKTSb",290625,4,2022-02-03
"837","Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,2022-02-03
"838","Million Dollars Worth of Game (feat. 42 Dugg)","2 Chainz",0.81,0.68,2,-4.871,0.346,0.0059,0,0.112,0.419,97.02,"6C0vyXq2uzFRTTLcE4whhl",158627,4,2022-02-03
"839","Numb Little Bug","Em Beihold",0.742,0.527,8,-6.892,0.0769,0.327,0,0.25,0.638,84.974,"3o9kpgkIcffx0iSwxhuNI2",169238,4,2022-02-03
"840","emo girl (feat. WILLOW)","Machine Gun Kelly",0.41,0.881,2,-3.502,0.087,0.000406,4.26e-05,0.922,0.357,165.006,"2AAyBZmMVZSZfgzXRYJOWQ",159096,4,2022-02-03
"841","Weak (feat. BIG30)","Juicy J",0.866,0.719,11,-5.774,0.266,0.00844,0,0.36,0.757,153.109,"1r2mef8nQFVUZjyBalNNhW",211639,4,2022-02-03
"842","Johnny P's Caddy","Benny The Butcher",0.535,0.819,8,-6.792,0.455,0.584,0,0.16,0.581,150.451,"6AshXllQhobwSXsdpgp41w",225000,4,2022-02-03
"843","Circles Around This Town","Maren Morris",0.591,0.814,4,-4.986,0.0468,0.015,0,0.117,0.815,149.9,"13G5xv1wUKvJYbK0wYmioN",195760,4,2022-02-03
"844","Worst Day","Future",0.646,0.597,1,-6.045,0.401,0.11,0,0.0958,0.6,88.506,"70pwY1UfPmSVE3ybPjFy0p",184893,4,2022-02-03
"845","Diet Coke","Pusha T",0.69,0.949,10,-3.13,0.379,0.124,0,0.0429,0.757,163.954,"3BMG9dnjNymT1OGUXQTAXl",179534,4,2022-02-03
"846","Rumors (feat. Lil Durk)","Gucci Mane",0.688,0.842,2,-4.211,0.264,0.0499,0,0.241,0.416,159.897,"0P2P1AxcRYhiZvoF5MyRmM",185856,4,2022-02-03
"847","Too Late (with Dirty Heads)","Shwayze",0.711,0.689,9,-6.949,0.0424,0.122,0,0.0754,0.617,90.042,"3jaaCjDmM9wMEr42mMqrPo",157085,4,2022-02-03
"848","Hot Tub","Yung Gravy",0.75,0.769,9,-4.705,0.203,0.0743,0,0.375,0.554,123.939,"0QwtPubre27rt1YnJBKeNb",159226,4,2022-02-03
"849","Big Energy","Latto",0.935,0.807,11,-3.838,0.114,0.0514,0,0.349,0.813,106.017,"6Zu3aw7FfjAF9WA0fA81Oq",173182,4,2022-02-03
"850","Trouble With A Heartbreak","Jason Aldean",0.582,0.797,5,-4.926,0.0334,0.23,0,0.132,0.595,135.973,"4lSNyiHil3tuiwtvEpN1qq",196027,4,2022-02-03
"851","Survive","Lane 8",0.362,0.534,1,-10.403,0.0498,0.435,0.93,0.0939,0.238,184.216,"5QZdeEHEHy1Jphbral0nbv",302439,3,2022-02-03
"852","Empty Bottles - Live","Bryce Vine",0.562,0.846,6,-5.743,0.0882,0.176,0,0.963,0.444,163.938,"0YoVeNO1yhg6fupK0L92hk",177530,4,2022-02-03
"853","Island Fever","Just A Gent",0.668,0.638,8,-6.935,0.0663,0.0403,0.152,0.0648,0.722,100.037,"0RKK3tkaNLKgR6HObMTCup",231600,4,2022-02-03
"854","The Actor","alt-J",0.625,0.604,2,-8.33,0.0375,0.0438,0.0941,0.0607,0.624,147.987,"6d7h4L6TWXDPCUupnTMhAC",240893,4,2022-02-03
"855","all my days feel the same","Pouya",0.884,0.541,1,-8.781,0.436,0.0524,0.00527,0.12,0.667,74.993,"01rvNWV9Jlk3QOk2ID1lvM",155893,4,2022-02-03
"856","Proud","Paper Route EMPIRE",0.904,0.733,11,-7.036,0.301,0.0951,0,0.136,0.519,145.012,"6yOM87h9akcg1iYT5p66Av",184040,4,2022-02-03
"857","Whiteboyz","Tom MacDonald",0.876,0.763,0,-5.455,0.097,0.225,0,0.225,0.486,120.046,"28jyhO2BJazsjE902vltpB",193000,4,2022-02-03
"858","Shady Intentions (feat. Tori Levett)","NGHTMRE",0.592,0.738,10,-5.975,0.0367,0.0645,0.092,0.109,0.319,158.051,"7zN7l6yep9kPdBJeevfPvY",185316,4,2022-02-03
"859","Don’t Forget My Love","Diplo",0.639,0.873,2,-6.222,0.0408,0.0237,0.0143,0.119,0.258,121.031,"1kpTK8SWlA1lGkorVaxp3S",199091,4,2022-02-03
"860","Don't Fade - Single Version","Vance Joy",0.676,0.601,2,-7.908,0.0325,0.327,0.000107,0.0813,0.233,134.128,"0m3hslcOQomyJh8Mz7hdrX",190253,4,2022-02-03
"861","Serotonin","Nic D",0.81,0.497,1,-7.755,0.0647,0.0333,0,0.111,0.343,139.988,"1FUQZYqWRVL8eaQd7uENlz",151301,4,2022-02-03
"862","She Likes It (feat. Jake Scott)","Russell Dickerson",0.79,0.325,4,-11.689,0.127,0.509,0,0.155,0.539,126.877,"6VVqPBFZIbcmv14zNfOc13",163311,4,2022-02-03
"863","Cigarettes","Juice WRLD",0.597,0.615,2,-6.346,0.0421,0.0303,0,0.378,0.467,160.014,"42Xba467wgGvYrR2EE6s0i",227527,4,2022-02-03
"864","WHERE WE ARE","The Lumineers",0.573,0.507,11,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"4MTmAFWHpvB9kPMSRgLFRp",172800,4,2022-02-03
"865","HOME","Mike Dimes",0.895,0.468,0,-5.777,0.378,0.342,0,0.213,0.428,118.019,"2WnPietHTd9hrIPbZnpoHL",174915,4,2022-02-03
"866","Dear God (feat. Kevin Gates)","FL Dusa",0.673,0.748,7,-6.1,0.365,0.255,0,0.236,0.716,139.667,"1oPdIqXhjswpTnA5PPQs0K",181714,4,2022-02-03
"867","Walkin","Denzel Curry",0.557,0.652,11,-7.219,0.145,0.134,0,0.292,0.433,135.999,"646sbFnyVg1trhqqxqFUJg",280005,4,2022-02-03
"868","Celebrity Skin","Doja Cat",0.475,0.885,11,-4.735,0.0533,2.24e-05,9.93e-05,0.279,0.413,133.951,"66bLKGXOk3kPWWHP7Tbrki",159651,4,2022-02-03
"869","My Babe","Spoon",0.703,0.461,2,-6.283,0.0329,0.518,0.000129,0.105,0.436,95.045,"2KoQiXDyIz2pnd33oukKEw",227268,4,2022-02-03
"870","Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,2022-02-03
"871","Super Gremlin","Kodak Black",0.825,0.414,2,-6.634,0.144,0.00265,0,0.357,0.106,72.993,"2bBClS4zzrRd4Aj59NaKSv",200548,4,2022-02-03
"872","Ugliest","$uicideboy$",0.752,0.55,5,-7.166,0.362,0.172,0.0148,0.14,0.405,174.073,"2Q9nA56DKKJhj4cHMbHlAS",178131,4,2022-02-03
"873","Cowboys Don’t Cry","Oliver Tree",0.608,0.638,8,-7.215,0.0561,0.217,0,0.324,0.457,87.956,"13plTOJUDmgBrTEd7yzTgq",189969,4,2022-02-03
"874","What, Me Worry?","Portugal. The Man",0.722,0.889,3,-2.564,0.0416,0.0682,4.77e-06,0.124,0.743,139.965,"0ePX6rVjeql7Bt1KurTbAG",177397,4,2022-02-03
"875","P power (feat. Drake)","Gunna",0.828,0.591,1,-6.217,0.109,0.0199,0.000323,0.361,0.202,119.251,"0lEjxUUlKqjqXrVlIHFduD",193347,4,2022-02-03
"876","Gospel (with Eminem)","Dr. Dre",0.919,0.869,1,-4.441,0.232,0.103,1.2e-05,0.166,0.655,117.03,"3a2jFwnts4Cf0OwJbK61SL",210027,4,2022-02-03
"877","'Til You Can't","Cody Johnson",0.501,0.815,1,-4.865,0.0436,0.0513,0,0.106,0.46,160.087,"4k3lPl8YTKuY8c1HelVnm3",224213,4,2022-02-03
"878","AA","Walker Hayes",0.634,0.764,4,-5.858,0.0297,0.00354,0,0.337,0.736,104.03,"6aIrXGmaFqPafbYgxbMUsj",189560,4,2022-02-03
"879","Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",0.65,0.584,2,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,"6K5ph5mq1qprHae3TrgTj5",202227,4,2022-02-03
"880","Está Noche","Nivel Codiciado",0.653,0.752,2,-8.083,0.0355,0.345,0,0.117,0.718,97.806,"6uOMIOljAGYvk0pVMpYxFI",124267,3,2022-02-03
"881","Eazy","The Game",0.716,0.551,1,-6.987,0.47,0.167,0,0.197,0.305,82.393,"6Ab81Bs9fcOwaTYuBsUUpI",234288,4,2022-02-03
"882","We Had It Good","Chase Matthew",0.583,0.81,4,-7.416,0.0328,0.266,1.12e-06,0.0874,0.34,119.999,"7HQIudswhHicyidL1V4iiO",212000,4,2022-02-03
"883","Say Nothing (feat. MAY-A)","Flume",0.478,0.822,2,-1.961,0.0642,0.101,6.6e-05,0.12,0.309,130.058,"424Uwmm1kNW07Ty1nOhSpl",232959,4,2022-02-03
"884","Closer (feat. H.E.R.)","Saweetie",0.833,0.691,6,-5.771,0.133,0.139,2.99e-05,0.131,0.866,110.985,"1dKe9VEGUSNfzn5MDvm6SJ",168873,4,2022-02-03
"885","Mr. Blue","Omar LinX",0.388,0.757,7,-5.528,0.11,0.219,0.00456,0.0808,0.16,146.993,"30G6Ns8OTeUe11ik22aBpo",192850,4,2022-02-03
"886","Doin' This","Luke Combs",0.593,0.552,1,-5.838,0.028,0.18,1.71e-05,0.11,0.39,115,"4GyD3o5hWoyCuYpdlzZlRL",254181,4,2022-02-03
"887","Arya (feat. A$AP Rocky)","A$AP Rocky",0.958,0.478,7,-7.669,0.192,0.0823,0,0.126,0.379,120.042,"0Rq6JJwpZ9f1SU6Cfhgjv7",162254,4,2022-02-03
"888","If I Was a Cowboy","Miranda Lambert",0.575,0.644,6,-5.68,0.0309,0.271,0,0.131,0.626,80.07,"6F7UOC6fPWOkPqybOWBHSv",195013,4,2022-02-03
"889","Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version","MOUNT WESTMORE",0.92,0.549,11,-5.912,0.257,0.0262,3.1e-06,0.196,0.709,90.004,"5GPm7PsMQwceQvfYlGXcCt",241587,4,2022-02-03
"890","Loved You A Little (with Taking Back Sunday and Charlotte Sands)","The Maine",0.484,0.828,11,-5.197,0.0543,0.0288,0,0.313,0.577,195.999,"0IPKskRI33eRXjUhNUr9b5",207281,4,2022-02-03
"891","Me or Sum (feat. Future & Lil Baby)","Nardo Wick",0.534,0.573,1,-6.757,0.414,0.00926,0,0.136,0.373,160.333,"2HHLfzE7PkljuqyYU4vwmh",225533,4,2022-02-03
"892","One Mississippi","Kane Brown",0.471,0.846,0,-5.269,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,"4FdPnT2cFrpWCmWZd7GXc3",213719,4,2022-02-03
"893","Burn It Down - 717 Tapes","Warren Zeiders",0.545,0.56,9,-7.353,0.0292,0.0367,0,0.104,0.365,79.058,"2QWEKEYag6vI7VfJehbd7v",169853,4,2022-02-03
"894","Nothing Good Comes Easy","Felix Cartal",0.647,0.773,4,-5.893,0.0403,0.00854,0.0107,0.714,0.0682,121.997,"1m66iYSRv0qEQBo0RqyPaw",174344,4,2022-02-03
"895","Never Say Never (with Lainey Wilson)","Cole Swindell",0.472,0.937,0,-4.028,0.0567,0.00717,0,0.11,0.454,140.073,"03kCiUPjdAV9ur9ugm8PQT",176147,4,2022-02-03
"896","Steady Love","Ben Rector",0.678,0.277,11,-10.537,0.0602,0.843,3.91e-06,0.104,0.238,76.935,"0ZpcK7pDA45LAVQFTJ2ieb",224333,4,2022-02-03
"897","What Else Can I Do?","Diane Guerrero",0.718,0.709,4,-5.568,0.039,0.258,0,0.101,0.54,119.974,"3XoYqtiWHhsk59frZupImG",179427,4,2022-02-03
"898","Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,2022-02-03
"899","I Don't Wanna Go To Heaven","Nate Smith",0.455,0.451,0,-7.544,0.0452,0.749,0,0.0776,0.27,104.662,"55lJN2gIzJM9SCfwzxAEjf",201294,4,2022-02-03
"900","Cold Gangsta","Yo Gotti",0.848,0.533,11,-8.79,0.282,0.0123,0,0.18,0.648,132.442,"2bxvKs7Q0zqFqajnRcgxbv",211569,4,2022-02-03
"901","Mr. Blue","Omar LinX",0.388,0.757,7,-5.528,0.11,0.219,0.00456,0.0808,0.16,146.993,"30G6Ns8OTeUe11ik22aBpo",192850,4,2022-01-27
"902","Renegade","Big Gigantic",0.71,0.828,5,-5.41,0.119,0.00155,0.698,0.296,0.466,127.065,"34VvEULRDeVXiaCRsUebKg",201800,4,2022-01-27
"903","Long Live Cowgirls (with Cody Johnson)","Ian Munsick",0.233,0.432,10,-5.957,0.0321,0.291,0,0.279,0.286,195.663,"16LGRLfaVIC5rT2ZvLk0gd",184747,3,2022-01-27
"904","Gassed Up","Zeds Dead",0.643,0.985,4,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,"6uwjDA0Qi6hk8C6lPJIMc9",238286,4,2022-01-27
"905","Gummy Worm (feat. Boogie T)","Subtronics",0.641,0.931,11,-1.888,0.298,0.0954,0.209,0.777,0.439,140.148,"3CvIbxdih7XqVgtoRmYMAq",243429,4,2022-01-27
"906","Griztronics II (Another Level)","GRiZ",0.579,0.978,0,0.352,0.211,0.0205,0.00829,0.326,0.58,145.054,"2il9NDpW87Hk2L9AjeDf8r",165517,4,2022-01-27
"907","Old Ways","Lab Group",0.584,0.608,10,-9.09,0.454,0.499,0,0.137,0.482,134.418,"166dyoTRmbEbeIwZZeToY7",178286,4,2022-01-27
"908","Survive","Lane 8",0.362,0.534,1,-10.403,0.0498,0.435,0.93,0.0939,0.238,184.216,"5QZdeEHEHy1Jphbral0nbv",302439,3,2022-01-27
"909","Johnny P's Caddy","Benny The Butcher",0.535,0.819,8,-6.792,0.455,0.584,0,0.16,0.581,150.451,"6AshXllQhobwSXsdpgp41w",225000,4,2022-01-27
"910","Loser","Sueco",0.61,0.894,5,-3.956,0.129,0.00317,0,0.0539,0.65,96.622,"1GAIibUEoZjvG4QsrabVWc",133679,4,2022-01-27
"911","the lifeboat's empty!","Chelsea Cutler",0.534,0.649,5,-7.531,0.0435,0.00712,6.22e-06,0.137,0.358,161.828,"59zrASvoFolvYcBSewxuT4",174279,4,2022-01-27
"912","Screams","Greensky Bluegrass",0.588,0.534,9,-12.527,0.0271,0.458,0.0635,0.492,0.492,114.082,"2dPWIhmf2ZEpibLjPtLBMb",257514,4,2022-01-27
"913","Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,2022-01-27
"914","Surround Sound (feat. 21 Savage & Baby Tate)","JID",0.57,0.573,5,-6.935,0.476,0.156,0,0.256,0.517,76.006,"0cp97b37sFNsdIbQH6po3T",229938,4,2022-01-27
"915","Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"3DZ8dbKg4OTSSqGARvecYd",185600,4,2022-01-27
"916","Sweetest Thing","NGHTMRE",0.544,0.591,0,-6.757,0.0407,0.00711,0,0.109,0.188,151.756,"4BCda1bJa57fTMB2laaOeX",208421,4,2022-01-27
"917","Running Around","Goth Babe",0.655,0.815,0,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052,"35DHCZvQcy8PIM0eJmVS1X",268800,4,2022-01-27
"918","Arya (feat. A$AP Rocky)","A$AP Rocky",0.958,0.478,7,-7.669,0.192,0.0823,0,0.126,0.379,120.042,"0Rq6JJwpZ9f1SU6Cfhgjv7",162254,4,2022-01-27
"919","Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,2022-01-27
"920","Mi Despedida","Los Del Limit",0.531,0.491,7,-8.636,0.0584,0.44,0.00116,0.128,0.363,110.228,"6Svlf7ToRwf8VFaHWpdN9O",196065,4,2022-01-27
"921","Take Flight VIP","Sullivan King",0.583,0.992,11,0.787,0.216,0.0159,0.0182,0.231,0.362,128.039,"0mE1Eo3encgJEIPzSLKTSb",290625,4,2022-01-27
"922","Wagmi Express","Gramatik",0.892,0.821,5,-5.274,0.32,0.0897,0.00102,0.318,0.753,87.995,"6i8fTrSzxLV9fEGZnOog8P",215455,4,2022-01-27
"923","Rumors (feat. Lil Durk)","Gucci Mane",0.688,0.842,2,-4.211,0.264,0.0499,0,0.241,0.416,159.897,"0P2P1AxcRYhiZvoF5MyRmM",185856,4,2022-01-27
"924","WHERE WE ARE","The Lumineers",0.573,0.507,11,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"4MTmAFWHpvB9kPMSRgLFRp",172800,4,2022-01-27
"925","Every Shade of Blue","The Head And The Heart",0.538,0.61,2,-6.103,0.0329,0.105,5.88e-06,0.22,0.187,120.051,"1cKWyEiGWLXAUTz6jI1d7c",213293,4,2022-01-27
"926","Heat Waves - Slowed","Glass Animals",0.633,0.55,9,-9.965,0.0924,0.649,0.000363,0.147,0.333,147.099,"1K2RnVhm3eauKnA8PAcPu1",262248,4,2022-01-27
"927","Figured U Out","CharlestheFirst",0.595,0.49,4,-8.815,0.0503,0.696,0.000409,0.0661,0.0484,88.002,"5SDSc7ntlYfAVc0P99xpzG",201818,4,2022-01-27
"928","Flower Shops (feat. Morgan Wallen)","ERNEST",0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,"2ccuOtUjIyx3tPcsnpeBzJ",214405,3,2022-01-27
"929","Circles Around This Town","Maren Morris",0.591,0.814,4,-4.986,0.0468,0.015,0,0.117,0.815,149.9,"13G5xv1wUKvJYbK0wYmioN",195760,4,2022-01-27
"930","Serotonin","Nic D",0.81,0.497,1,-7.755,0.0647,0.0333,0,0.111,0.343,139.988,"1FUQZYqWRVL8eaQd7uENlz",151301,4,2022-01-27
"931","Alien Coast","St. Paul & The Broken Bones",0.547,0.443,0,-8.378,0.0337,0.0108,0.273,0.0907,0.114,139.847,"4kC3lxgZxG0aW537ooxcyR",238689,4,2022-01-27
"932","Young Man","Jamestown Revival",0.498,0.415,8,-8.394,0.0311,0.459,5.87e-06,0.122,0.501,140.723,"6kSBMzeXOsmPvrOvoV6WBt",246000,4,2022-01-27
"933","Proud","Paper Route EMPIRE",0.904,0.733,11,-7.036,0.301,0.0951,0,0.136,0.519,145.012,"6yOM87h9akcg1iYT5p66Av",184040,4,2022-01-27
"934","Walkin","Denzel Curry",0.557,0.652,11,-7.219,0.145,0.134,0,0.292,0.433,135.999,"646sbFnyVg1trhqqxqFUJg",280005,4,2022-01-27
"935","Borne","Goose",0.65,0.514,8,-8.472,0.0399,0.098,0.0887,0.0936,0.199,152.095,"3wLYkQXqrjl7VEFGWRXQvr",300821,4,2022-01-27
"936","Numb Little Bug","Em Beihold",0.742,0.527,8,-6.892,0.0769,0.327,0,0.25,0.638,84.974,"3o9kpgkIcffx0iSwxhuNI2",169238,4,2022-01-27
"937","Our Fire","Excision",0.386,0.739,2,-2.367,0.0384,0.033,2.23e-06,0.241,0.0666,75.023,"2EgXhbQ9SliIgqWbB4JYHW",259401,4,2022-01-27
"938","She Likes It (feat. Jake Scott)","Russell Dickerson",0.79,0.325,4,-11.689,0.127,0.509,0,0.155,0.539,126.877,"6VVqPBFZIbcmv14zNfOc13",163311,4,2022-01-27
"939","Big Energy","Latto",0.935,0.807,11,-3.838,0.114,0.0514,0,0.349,0.813,106.017,"6Zu3aw7FfjAF9WA0fA81Oq",173182,4,2022-01-27
"940","Burn It Down - 717 Tapes","Warren Zeiders",0.545,0.56,9,-7.353,0.0292,0.0367,0,0.104,0.365,79.058,"2QWEKEYag6vI7VfJehbd7v",169853,4,2022-01-27
"941","Strangers","Maddie & Tae",0.535,0.622,3,-5.774,0.0283,0.516,0,0.09,0.258,144.005,"1oHQEOY1n5rOP0GPI0J0Wl",212667,4,2022-01-27
"942","Levels","Marc E. Bassy",0.648,0.497,10,-7.16,0.0426,0.242,0,0.362,0.434,140.042,"2TwPwabliEHR4QByOrc2Hi",164762,4,2022-01-27
"943","Utopia","Black Tiger Sex Machine",0.566,0.949,5,-2.3,0.0348,6.26e-05,0.0692,0.104,0.537,128.041,"0vpvhFx17wBN7HHkxUOQUM",234375,4,2022-01-27
"944","Push It (feat. Young Thug)","NLE Choppa",0.885,0.678,7,-6.456,0.359,0.044,0,0.0899,0.755,127.935,"1s3etXt5RKVEuC14ugwmHy",210143,4,2022-01-27
"945","Cowboys Don’t Cry","Oliver Tree",0.608,0.638,8,-7.215,0.0561,0.217,0,0.324,0.457,87.956,"13plTOJUDmgBrTEd7yzTgq",189969,4,2022-01-27
"946","Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,2022-01-27
"947","New World Order","Tom MacDonald",0.758,0.874,5,-5.248,0.281,0.0348,0,0.174,0.608,94.984,"5xqjk4XNlFgZPFb80jqCUg",196105,4,2022-01-27
"948","Island Fever","Just A Gent",0.668,0.638,8,-6.935,0.0663,0.0403,0.152,0.0648,0.722,100.037,"0RKK3tkaNLKgR6HObMTCup",231600,4,2022-01-27
"949","Cutie","COIN",0.682,0.609,7,-6.372,0.139,0.000928,0.000201,0.142,0.723,111.991,"4nLTOnpSCBwRlul92HLIyW",184315,4,2022-01-27
"950","Chocolate Hills","Khruangbin",0.661,0.281,3,-11.854,0.0671,0.572,0.00929,0.109,0.218,129.9,"1No3OKWvdgtctLvSKQcREg",190433,4,2022-01-27
"951","vice city","XXXTENTACION",0.853,0.467,9,-6.843,0.195,0.00596,0.00171,0.203,0.329,87.023,"6MOst484piqXpzPPRRe8i5",220709,4,2022-01-27
"952","Million Dollars Worth of Game (feat. 42 Dugg)","2 Chainz",0.808,0.677,2,-4.922,0.106,0.00407,0,0.132,0.46,97.009,"3IZWCcD1FYpyeY3ki2VUmL",159840,4,2022-01-27
"953","Steady Heart","Kameron Marlowe",0.516,0.481,6,-6.587,0.0254,0.00865,1.18e-05,0.226,0.196,144.097,"4QakuMSCrvw79FQV55xx6T",213207,4,2022-01-27
"954","Bacon","Manic Focus",0.722,0.519,6,-7.198,0.0285,0.279,0.864,0.267,0.511,81.01,"2G7BhDnIab3gSzSGYhcZQK",193333,4,2022-01-27
